,severity_proba
1813,0.009438063
1814,0.0012569454
1815,0.008137811
1816,0.0032354991
1817,0.74518
1818,0.008022654
1819,0.0046198117
1821,0.13210113
1822,0.0017967827
1823,0.3430888
1824,0.0009014588
1825,0.06927822
1826,0.036834493
1827,0.004531982
1828,0.10216835
1829,0.008343156
1830,0.0045756577
1831,0.0056394823
1832,0.007745156
1833,0.002854184
1834,0.04885853
1835,0.004782005
1836,0.009140629
1837,0.0029036272
1838,0.013746121
1839,0.011677882
1840,0.01271098
1841,0.019598009
1842,0.026861003
1843,0.033254232
1844,0.0062611685
1845,0.0026087004
1846,0.00462742
1848,0.015434265
1850,0.65409005
1851,0.004361566
1852,0.0035274893
1853,0.01707692
1854,0.04919562
1856,0.0021947215
1857,0.0033670543
1858,0.016289186
1859,0.0031852259
1860,0.0061734696
1861,0.005348395
1862,0.0017167027
1863,0.3697289
1864,0.0020054383
1865,0.0022374464
1866,0.010498553
1867,0.032229155
1868,0.007962187
1869,0.007945534
1871,0.86891186
1872,0.0091927
1873,0.09455501
1874,0.0078110723
1876,0.12681063
1878,0.38551247
1880,0.47824463
1882,0.114831574
1884,0.07156636
1885,0.08598155
1888,0.008670209
1889,0.02202951
1890,0.0044605616
1891,0.022933334
1892,0.58300173
1893,0.12307548
1894,0.013790312
1895,0.5007537
